City,State,Year,Population
New York,New York,2011,8272963
Los Angeles,California,2011,3821136
Chicago,Illinois,2011,2708209
Houston,Texas,2011,2124143
Phoenix,Arizona,2011,1470052
Philadelphia,Pennsylvania,2011,1540322
San Antonio,Texas,2011,1357536
San Diego,California,2011,1319697
Dallas,Texas,2011,1218320
San Jose,California,2011,969948
Austin,Texas,2011,828694
Jacksonville,Florida,2011,829554
Fort Worth,Texas,2011,764034
Columbus,Ohio,2011,800522
San Francisco,California,2011,815677
Charlotte,North Carolina,2011,754840
Indianapolis city (bal,Indiana,2011,827604
Seattle,Washington,2011,623050
Denver,Colorado,2011,620513
Washington,District of Columbia,2011,619602
Boston,Massachusetts,2011,630480
El Paso,Texas,2011,664521
Detroit,Michigan,2011,705043
Nashville-Davidson metropolitan government (bal,Tennessee,2011,612422
Portland,Oregon,2011,595410
Memphis,Tennessee,2011,655590
Oklahoma City,Oklahoma,2011,590824
Las Vegas,Nevada,2011,586635
Louisville/Jefferson County metro government (bal,Kentucky,2011,599637
Baltimore,Maryland,2011,620442
Milwaukee,Wisconsin,2011,597056
Albuquerque,New Mexico,2011,552095
Tucson,Arizona,2011,530624
Fresno,California,2011,501413
Mesa,Arizona,2011,447681
Sacramento,California,2011,470914
Atlanta,Georgia,2011,437563
Kansas City,Missouri,2011,462356
Colorado Springs,Colorado,2011,427248
Miami,Florida,2011,410673
Raleigh,North Carolina,2011,413932
Omaha,Nebraska,2011,453217
Long Beach,California,2011,464569
Virginia Beach,Virginia,2011,442536
Oakland,California,2011,396135
Minneapolis,Minnesota,2011,388022
Tulsa,Oklahoma,2011,393111
Arlington,Texas,2011,370485
Tampa,Florida,2011,346778
New Orleans,Louisiana,2011,360686
Wichita,Kansas,2011,383729
Cleveland,Ohio,2011,392594
Bakersfield,California,2011,353640
Aurora,Colorado,2011,332627
Anaheim,California,2011,340202
Urban Honolul,Hawaii,2011,343040
Santa Ana,California,2011,328255
Riverside,California,2011,309556
Corpus Christi,Texas,2011,308096
Lexington-Fayette urban c,Kentucky,2011,301736
Stockton,California,2011,294922
Henderson,Nevada,2011,258834
St. Paul,Minnesota,2011,288812
St. Louis,Missouri,2011,319294
Cincinnati,Ohio,2011,296020
Pittsburgh,Pennsylvania,2011,306107
Greensboro,North Carolina,2011,272396
Anchorage municip,Alaska,2011,296154
Plano,Texas,2011,266963
Lincoln,Nebraska,2011,262466
Orlando,Florida,2011,243585
Irvine,California,2011,220261
Newark,New Jersey,2011,277540
Toledo,Ohio,2011,285347
Durham,North Carolina,2011,235308
Chula Vista,California,2011,248339
Fort Wayne,Indiana,2011,256253
Jersey City,New Jersey,2011,252910
St. Petersburg,Florida,2011,245856
Laredo,Texas,2011,241266
Madison,Wisconsin,2011,236877
Chandler,Arizona,2011,236854
Buffalo,New York,2011,260706
Lubbock,Texas,2011,233601
Scottsdale,Arizona,2011,220792
Reno,Nevada,2011,227160
Glendale,Arizona,2011,229233
Gilbert,Arizona,2011,211418
Winston-Salem,North Carolina,2011,231847
North Las Vegas,Nevada,2011,218302
Norfolk,Virginia,2011,243632
Chesapeake,Virginia,2011,225332
Garland,Texas,2011,230078
Irving,Texas,2011,219877
Hialeah,Florida,2011,230396
Fremont,California,2011,217400
Boise City,Idaho,2011,212620
Richmond,Virginia,2011,206325
Baton Rouge,Louisiana,2011,228595
Spokane,Washington,2011,208949
Des Moines,Iowa,2011,207870
Tacoma,Washington,2011,199493
San Bernardino,California,2011,211402
Modesto,California,2011,204041
Fontana,California,2011,199916
Santa Clarita,California,2011,205317
Birmingham,Alabama,2011,211566
Oxnard,California,2011,199904
Fayetteville,North Carolina,2011,208728
Moreno Valley,California,2011,196577
Rochester,New York,2011,210710
Glendale,California,2011,192681
Huntington Beach,California,2011,193010
Salt Lake City,Utah,2011,188181
Grand Rapids,Michigan,2011,189087
Amarillo,Texas,2011,193747
Yonkers,New York,2011,197575
Aurora,Illinois,2011,199100
Montgomery,Alabama,2011,205180
Akron,Ohio,2011,199016
Little Rock,Arkansas,2011,195210
Huntsville,Alabama,2011,182167
Augusta-Richmond County consolidated government (bal,Georgia,2011,195643
Port St. Lucie,Florida,2011,166276
Grand Prairie,Texas,2011,178921
Columbus,Georgia,2011,195244
Tallahassee,Florida,2011,183140
Overland Park,Kansas,2011,176020
Tempe,Arizona,2011,164481
McKinney,Texas,2011,137921
Mobile,Alabama,2011,193992
Cape Coral,Florida,2011,157314
Shreveport,Louisiana,2011,201746
Frisco,Texas,2011,123483
Knoxville,Tennessee,2011,180084
Worcester,Massachusetts,2011,182489
Brownsville,Texas,2011,178241
Vancouver,Washington,2011,169058
Fort Lauderdale,Florida,2011,169021
Sioux Falls,South Dakota,2011,156446
Ontario,California,2011,165759
Chattanooga,Tennessee,2011,172032
Providence,Rhode Island,2011,178395
Newport News,Virginia,2011,180098
Rancho Cucamonga,California,2011,167945
Santa Rosa,California,2011,176351
Oceanside,California,2011,169853
Salem,Oregon,2011,156146
Elk Grove,California,2011,155631
Garden Grove,California,2011,172971
Pembroke Pines,Florida,2011,158272
Peoria,Arizona,2011,155050
Eugene,Oregon,2011,157411
Corona,California,2011,154882
Cary,North Carolina,2011,142116
Springfield,Missouri,2011,160338
Fort Collins,Colorado,2011,146602
Jackson,Mississippi,2011,175168
Alexandria,Virginia,2011,144220
Hayward,California,2011,146845
Lancaster,California,2011,158087
Lakewood,Colorado,2011,144102
Clarksville,Tennessee,2011,136101
Palmdale,California,2011,154035
Salinas,California,2011,152454
Springfield,Massachusetts,2011,153882
Hollywood,Florida,2011,143422
Pasadena,Texas,2011,151159
Sunnyvale,California,2011,143812
Macon-Bibb C,Georgia,2011,156160
Kansas City,Kansas,2011,146233
Pomona,California,2011,149682
Escondido,California,2011,146102
Killeen,Texas,2011,130801
Naperville,Illinois,2011,143189
Joliet,Illinois,2011,147900
Bellevue,Washington,2011,130271
Rockford,Illinois,2011,152122
Savannah,Georgia,2011,140476
Paterson,New Jersey,2011,145595
Torrance,California,2011,145811
Bridgeport,Connecticut,2011,146131
McAllen,Texas,2011,134717
Mesquite,Texas,2011,141421
Syracuse,New York,2011,144566
Midland,Texas,2011,113949
Pasadena,California,2011,137678
Murfreesboro,Tennessee,2011,111716
Miramar,Florida,2011,125046
Dayton,Ohio,2011,141988
Fullerton,California,2011,136401
Olathe,Kansas,2011,128295
Orange,California,2011,138207
Thornton,Colorado,2011,121919
Roseville,California,2011,122596
Denton,Texas,2011,120137
Waco,Texas,2011,126480
Surprise,Arizona,2011,119648
Carrollton,Texas,2011,122463
West Valley City,Utah,2011,131028
Charleston,South Carolina,2011,123202
Warren,Michigan,2011,134147
Hampton,Virginia,2011,136528
Gainesville,Florida,2011,125414
Visalia,California,2011,125657
Coral Springs,Florida,2011,124632
Columbia,South Carolina,2011,131286
Cedar Rapids,Iowa,2011,128064
Sterling Heights,Michigan,2011,130031
New Haven,Connecticut,2011,130839
Stamford,Connecticut,2011,123980
Concord,California,2011,123517
Kent,Washington,2011,120962
Santa Clara,California,2011,117888
Elizabeth,New Jersey,2011,125789
Round Rock,Texas,2011,103836
Thousand Oaks,California,2011,127330
Lafayette,Louisiana,2011,122646
Athens-Clarke County unified government (bal,Georgia,2011,116971
Topeka,Kansas,2011,128216
Simi Valley,California,2011,125034
Fargo,North Dakota,2011,108104
Norman,Oklahoma,2011,113872
Columbia,Missouri,2011,111501
Abilene,Texas,2011,118749
Wilmington,North Carolina,2011,108125
Hartford,Connecticut,2011,125431
Victorville,California,2011,117911
Pearland,Texas,2011,96311
Vallejo,California,2011,116694
Ann Arbor,Michigan,2011,115519
Berkeley,California,2011,113953
